dataset,baseline_acc,full_acc,delta_acc,baseline_macroF1,full_macroF1,delta_macroF1,baseline_macroRecall,full_macroRecall,delta_macroRecall
breast-w,0.9298,0.9298,0.0,0.9185,0.9185,0.0,0.9052,0.9052,0.0
cleve,0.8051,0.8051,0.0,0.8015,0.8015,0.0,0.8015,0.8015,0.0
crx,0.867,0.8655,-0.0014999999999999458,0.8659,0.8646,-0.0012999999999999678,0.86795,0.8673,-0.0006500000000000394
diabetes,0.7631,0.7631,0.0,0.7291,0.7291,0.0,0.7244999999999999,0.7244999999999999,0.0
german,0.732,0.729,-0.0030000000000000027,0.644,0.6453,0.0012999999999999678,0.63715,0.6398,0.002650000000000041
glass,0.6563,0.6915,0.03520000000000001,0.5752,0.6544,0.07919999999999994,0.6503333333333333,0.727,0.07666666666666666
heart,0.8296,0.8296,0.0,0.8273,0.8273,0.0,0.82915,0.82915,0.0
hepatitis,0.8186,0.7931,-0.025499999999999967,0.7282,0.7102,-0.017999999999999905,0.75905,0.7543,-0.004750000000000032
horse,0.8397,0.8397,0.0,0.8302,0.8302,0.0,0.8363,0.8363,0.0
iris,0.9267,0.9267,0.0,0.9223,0.9223,0.0,0.9266666666666667,0.9266666666666667,0.0
labor,0.9467,0.9467,0.0,0.9457,0.9457,0.0,0.95945,0.95945,0.0
led7,0.7259,0.7265,0.0006000000000000449,0.717,0.7172,0.00019999999999997797,0.72384,0.72427,0.00042999999999993044
lymph,0.8058,0.8607,0.05490000000000006,0.6864,0.8549,0.16849999999999998,0.420925,0.866675,0.44575
sonar,0.8071,0.8071,0.0,0.8041,0.8041,0.0,0.8061499999999999,0.8061499999999999,0.0
tic-tac-toe,0.9729,0.9729,0.0,0.9701,0.9701,0.0,0.97,0.97,0.0
vehicle,0.6465,0.6477,0.0012000000000000899,0.6042,0.6038,-0.00039999999999995595,0.649725,0.6508,0.0010750000000000481
waveform,0.839,0.8316,-0.007399999999999962,0.8383,0.8306,-0.00770000000000004,0.8386999999999999,0.8312333333333334,-0.0074666666666665105
wine,0.9663,0.9663,0.0,0.9685,0.9685,0.0,0.9709,0.9709,0.0
zoo,0.949,0.965,0.016000000000000014,0.9019,0.9273,0.025399999999999978,0.8715142857142857,0.8928571428571429,0.02134285714285722
