dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,2,458,451,42,7,0.9148,0.9847,0.9485
breast-w,4,241,199,7,42,0.9660,0.8257,0.8904
cleve,healthy,164,139,34,25,0.8035,0.8476,0.8249
cleve,sick,139,105,25,34,0.8077,0.7554,0.7807
crx,+,307,270,55,37,0.8308,0.8795,0.8544
crx,-,383,328,37,55,0.8986,0.8564,0.8770
diabetes,1,268,160,74,108,0.6838,0.5970,0.6375
diabetes,0,500,426,108,74,0.7978,0.8520,0.8240
german,1,700,570,158,130,0.7830,0.8143,0.7983
german,2,300,142,130,158,0.5221,0.4733,0.4965
glass,2,76,52,18,24,0.7429,0.6842,0.7123
glass,1,70,56,22,14,0.7179,0.8000,0.7568
glass,3,17,2,11,15,0.1538,0.1176,0.1333
glass,7,29,25,4,4,0.8621,0.8621,0.8621
glass,5,13,10,3,3,0.7692,0.7692,0.7692
glass,6,9,6,5,3,0.5455,0.6667,0.6000
heart,1,150,125,21,25,0.8562,0.8333,0.8446
heart,2,120,99,25,21,0.7984,0.8250,0.8115
hepatitis,2,123,91,6,32,0.9381,0.7398,0.8273
hepatitis,1,32,26,32,6,0.4483,0.8125,0.5778
horse,1,232,197,24,35,0.8914,0.8491,0.8698
horse,2,136,112,35,24,0.7619,0.8235,0.7915
iris,Iris-setosa,50,50,3,0,0.9434,1.0000,0.9709
iris,Iris-virginica,50,46,4,4,0.9200,0.9200,0.9200
iris,Iris-versicolor,50,43,4,7,0.9149,0.8600,0.8866
labor,good,37,34,0,3,1.0000,0.9189,0.9577
labor,bad,20,20,3,0,0.8696,1.0000,0.9302
led7,2,322,306,170,16,0.6429,0.9503,0.7669
led7,9,318,154,63,164,0.7097,0.4843,0.5757
led7,7,324,257,77,67,0.7695,0.7932,0.7812
led7,8,314,146,57,168,0.7192,0.4650,0.5648
led7,6,317,226,64,91,0.7793,0.7129,0.7446
led7,5,326,220,62,106,0.7801,0.6748,0.7237
led7,0,325,278,105,47,0.7258,0.8554,0.7853
led7,1,326,253,49,73,0.8377,0.7761,0.8057
led7,4,325,303,179,22,0.6286,0.9323,0.7509
led7,3,303,180,51,123,0.7792,0.5941,0.6742
lymph,2,81,63,9,18,0.8750,0.7778,0.8235
lymph,3,61,52,17,9,0.7536,0.8525,0.8000
lymph,4,4,4,0,0,1.0000,1.0000,1.0000
lymph,1,2,2,1,0,0.6667,1.0000,0.8000
sonar,M,111,92,21,19,0.8142,0.8288,0.8214
sonar,R,97,76,19,21,0.8000,0.7835,0.7917
tic-tac-toe,positive,626,613,13,13,0.9792,0.9792,0.9792
tic-tac-toe,negative,332,319,13,13,0.9608,0.9608,0.9608
vehicle,bus,218,212,86,6,0.7114,0.9725,0.8217
vehicle,van,199,186,106,13,0.6370,0.9347,0.7576
vehicle,saab,217,102,78,115,0.5667,0.4700,0.5139
vehicle,opel,212,47,29,165,0.6184,0.2217,0.3264
waveform,0,1657,1292,236,365,0.8455,0.7797,0.8113
waveform,1,1647,1414,274,233,0.8377,0.8585,0.8480
waveform,2,1696,1489,295,207,0.8346,0.8779,0.8557
wine,2,71,66,1,5,0.9851,0.9296,0.9565
wine,3,48,48,1,0,0.9796,1.0000,0.9897
wine,1,59,58,4,1,0.9355,0.9831,0.9587
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,41,1,0,0.9762,1.0000,0.9880
zoo,4,13,13,1,0,0.9286,1.0000,0.9630
zoo,7,10,9,0,1,1.0000,0.9000,0.9474
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,4,1,0,0.8000,1.0000,0.8889
zoo,3,5,2,1,3,0.6667,0.4000,0.5000
